Name,Year,T,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,IsoP,Spd,BABIP,UBR,wSB,wRC,wRAA,wOBA,ev,wRC+
Hirokazu Ibata,2005,CND,659,,,0.94,,,,,0.089,,,,,,,,,71
Michihiro Ogasawara,2005,NHF,580,,,0.54,,,,,0.276,,,,,,,,,125
Tony Batista,2005,FSH,591,,,0.20,,,,,0.2,,,,,,,,,137
Yuji Yoshioka,2005,RAK,427,,,0.45,,,,,0.137,,,,,,,,,110
Matt Franco,2005,LOT,520,,,0.58,,,,,0.196,,,,,,,,,176
Hiroki Kokubo,2005,YOM,592,,,0.54,,,,,0.242,,,,,,,,,66
Julio Zuleta,2005,FSH,526,,,0.37,,,,,0.328,,,,,,,,,107
Jose Fernandez,2005,SEI,473,,,0.51,,,,,0.252,,,,,,,,,66
Takuro Ishii,2005,YB,688,,,0.79,,,,,0.082,,,,,,,,,105
Koichi Ogata,2005,HIR,490,,,0.71,,,,,0.206,,,,,,,,,134
Cliff Brumbaugh,2005,ORI,499,,,0.45,,,,,0.172,,,,,,,,,100
Kazuyoshi Tatsunami,2005,CND,580,,,0.89,,,,,0.108,,,,,,,,,93
Akihiro Yano,2005,HST,550,,,0.28,,,,,0.166,,,,,,,,,107
Hitoshi Tamura,2005,YB,499,,,0.40,,,,,0.273,,,,,,,,,110
Seung-Yeop Lee,2005,LOT,445,,,0.42,,,,,0.292,,,,,,,,,98
Shinnosuke Abe,2005,YOM,534,,,0.65,,,,,0.197,,,,,,,,,110
Katsuhiko Miyaji,2005,FSH,451,,,0.67,,,,,0.081,,,,,,,,,84
Kazuhiro Wada,2005,SEI,542,,,0.91,,,,,0.251,,,,,,,,,78
Shigenobu Shima,2005,HIR,625,,,0.47,,,,,0.186,,,,,,,,,144
Tatsuhiko Kinjo,2005,YB,642,,,0.51,,,,,0.115,,,,,,,,,111
Hirotoshi Kitagawa,2005,ORI,487,,,0.56,,,,,0.176,,,,,,,,,87
Kosuke Fukudome,2005,CND,612,,,0.73,,,,,0.262,,,,,,,,,157
Andy Sheets,2005,HST,614,,,0.32,,,,,0.173,,,,,,,,,90
Hitoshi Taneda,2005,YB,606,,,0.97,,,,,0.1,,,,,,,,,92
Toshiaki Imae,2005,LOT,509,,,0.35,,,,,0.141,,,,,,,,,109
Takayuki Shimizu,2005,YOM,531,,,0.73,,,,,0.153,,,,,,,,,99
Tsuyoshi Nishioka,2005,LOT,493,,,0.61,,,,,0.125,,,,,,,,,188
Kenji Jojima,2005,FSH,463,,,1.03,,,,,0.248,,,,,,,,,121
Shogo Akada,2005,SEI,478,,,0.32,,,,,0.08,,,,,,,,,101
Takahiro Arai,2005,HIR,587,,,0.29,,,,,0.298,,,,,,,,,95
Akinori Iwamura,2005,YAK,618,,,0.43,,,,,0.235,,,,,,,,,101
Keiichi Hirano,2005,ORI,457,,,0.52,,,,,0.055,,,,,,,,,112
Masahiro Araki,2005,CND,674,,,0.49,,,,,0.055,,,,,,,,,138
Makoto Imaoka,2005,HST,630,,,0.65,,,,,0.209,,,,,,,,,119
Masaaki Koike,2005,YB,492,,,0.44,,,,,0.188,,,,,,,,,142
Atsunori Inaba,2005,NHF,441,,,0.26,,,,,0.196,,,,,,,,,83
Munenori Kawasaki,2005,FSH,458,,,0.50,,,,,0.075,,,,,,,,,104
Yoshihito Ishii,2005,SEI,471,,,0.69,,,,,0.118,,,,,,,,,139
Tomonori Maeda,2005,HIR,590,,,1.02,,,,,0.228,,,,,,,,,74
Alex Ramirez,2005,YAK,629,,,0.19,,,,,0.196,,,,,,,,,155
Motonobu Tanishige,2005,CND,537,,,0.65,,,,,0.143,,,,,,,,,138
Yoshitomo Tani,2005,ORI,461,,,0.50,,,,,0.087,,,,,,,,,134
Norihiro Akahoshi,2005,HST,689,,,0.77,,,,,0.06,,,,,,,,,118
Ryoji Aikawa,2005,YB,559,,,0.43,,,,,0.088,,,,,,,,,113
Tomohiro Nioka,2005,YOM,593,,,0.47,,,,,0.135,,,,,,,,,100
Fernando Seguignol,2005,NHF,544,,,0.32,,,,,0.231,,,,,,,,,174
Naoyuki Omura,2005,FSH,584,,,0.29,,,,,0.096,,,,,,,,,149
Koichi Isobe,2005,RAK,534,,,0.42,,,,,0.153,,,,,,,,,108
Kazuya Fukuura,2005,LOT,491,,,0.71,,,,,0.104,,,,,,,,,97
Norichika Aoki,2005,YAK,649,,,0.33,,,,,0.073,,,,,,,,,107
Ty Woods,2005,CND,584,,,0.48,,,,,0.265,,,,,,,,,94
Alex Cabrera,2005,SEI,528,,,0.61,,,,,0.306,,,,,,,,,154
Shuichi Murata,2005,YB,539,,,0.35,,,,,0.226,,,,,,,,,131
Takashi Toritani,2005,HST,646,,,0.46,,,,,0.098,,,,,,,,,101
Alex Ochoa,2005,CND,574,,,0.40,,,,,0.149,,,,,,,,,129
Toshihisa Nishi,2005,YOM,522,,,0.39,,,,,0.095,,,,,,,,,93
Kuniyuki Kimoto,2005,NHF,565,,,0.33,,,,,0.152,,,,,,,,,112
Nobuhiko Matsunaka,2005,FSH,575,,,0.89,,,,,0.348,,,,,,,,,76
Takeshi Yamasaki,2005,RAK,430,,,0.48,,,,,0.258,,,,,,,,,125
Koichi Hori,2005,LOT,421,,,0.41,,,,,0.097,,,,,,,,,103
Shinya Miyamoto,2005,YAK,608,,,0.30,,,,,0.08,,,,,,,,,178
Jolbert Cabrera,2005,FSH,505,,,0.53,,,,,0.108,,,,,,,,,162
Hiroyuki Nakajima,2005,SEI,444,,,0.33,,,,,0.143,,,,,,,,,108
Takahiro Saeki,2005,YB,640,,,0.48,,,,,0.154,,,,,,,,,127
Tomoaki Kanemoto,2005,HST,662,,,1.14,,,,,0.288,,,,,,,,,84
Fernando Seguignol,2006,NHF,540,,,0.34,,,,,0.237,,,,,,,,,118
Yasuyuki Kataoka,2006,SEI,468,,,0.57,,,,,0.101,,,,,,,,,90
Nobuhiko Matsunaka,2006,FSH,559,,,2.76,,,,,0.204,,,,,,,,,114
Ryuji Miyade,2006,YAK,473,,,0.46,,,,,0.13,,,,,,,,,117
Benny Agbayani,2006,LOT,473,,,0.68,,,,,0.17,,,,,,,,,85
Makoto Shiozaki,2006,ORI,473,,,0.59,,,,,0.11,,,,,,,,,112
Masahiro Araki,2006,CND,506,,,0.53,,,,,0.058,,,,,,,,,137
Takuro Ishii,2006,YB,675,,,0.64,,,,,0.079,,,,,,,,,147
Akihiro Higashide,2006,HIR,550,,,0.45,,,,,0.024,,,,,,,,,115
Hichori Morimoto,2006,NHF,595,,,0.45,,,,,0.129,,,,,,,,,149
Jose Fernandez,2006,RAK,552,,,0.71,,,,,0.239,,,,,,,,,177
Akihiro Yano,2006,HST,501,,,0.34,,,,,0.17,,,,,,,,,106
Kazuya Fukuura,2006,LOT,484,,,0.63,,,,,0.078,,,,,,,,,113
Yoshitomo Tani,2006,ORI,469,,,0.73,,,,,0.078,,,,,,,,,141
Motonobu Tanishige,2006,CND,520,,,0.70,,,,,0.119,,,,,,,,,134
Tatsuhiko Kinjo,2006,YB,618,,,0.84,,,,,0.107,,,,,,,,,147
Eishin Soyogi,2006,HIR,494,,,0.44,,,,,0.133,,,,,,,,,125
Kensuke Tanaka,2006,NHF,450,,,0.50,,,,,0.114,,,,,,,,,134
Rick Short,2006,RAK,431,,,0.43,,,,,0.097,,,,,,,,,93
Andy Sheets,2006,HST,629,,,0.35,,,,,0.155,,,,,,,,,203
Seung-Yeop Lee,2006,YOM,592,,,0.44,,,,,0.292,,,,,,,,,99
Tomoya Satozaki,2006,LOT,449,,,0.47,,,,,0.199,,,,,,,,,110
Alex Cabrera,2006,SEI,540,,,0.59,,,,,0.249,,,,,,,,,123
Ty Woods,2006,CND,614,,,0.56,,,,,0.325,,,,,,,,,152
Adam Riggs,2006,YAK,636,,,0.29,,,,,0.264,,,,,,,,,99
Shigenobu Shima,2006,HIR,530,,,0.26,,,,,0.17,,,,,,,,,105
Makoto Kaneko,2006,NHF,439,,,0.38,,,,,0.127,,,,,,,,,127
Alex Ochoa,2006,CND,578,,,0.60,,,,,0.147,,,,,,,,,114
Norihiro Akahoshi,2006,HST,642,,,0.64,,,,,0.034,,,,,,,,,97
Takeshi Yamasaki,2006,RAK,479,,,0.44,,,,,0.191,,,,,,,,,89
Shinnosuke Abe,2006,YOM,497,,,0.46,,,,,0.133,,,,,,,,,171
Toshiaki Imae,2006,LOT,489,,,0.23,,,,,0.123,,,,,,,,,99
Hiroyuki Nakajima,2006,SEI,459,,,0.45,,,,,0.175,,,,,,,,,99
Julio Zuleta,2006,FSH,532,,,0.42,,,,,0.234,,,,,,,,,124
Akinori Iwamura,2006,YAK,621,,,0.55,,,,,0.233,,,,,,,,,145
Takahiro Arai,2006,HIR,611,,,0.27,,,,,0.18,,,,,,,,,153
Michihiro Ogasawara,2006,NHF,579,,,0.86,,,,,0.26,,,,,,,,,102
Hirokazu Ibata,2006,CND,666,,,0.85,,,,,0.082,,,,,,,,,185
Osamu Hamanaka,2006,HST,538,,,0.54,,,,,0.181,,,,,,,,,186
Teppei Tsuchiya,2006,RAK,432,,,0.31,,,,,0.093,,,,,,,,,131
Tomohiro Nioka,2006,YOM,598,,,0.27,,,,,0.183,,,,,,,,,96
Tsuyoshi Nishioka,2006,LOT,485,,,0.80,,,,,0.108,,,,,,,,,108
Kazuhiro Wada,2006,SEI,566,,,0.93,,,,,0.196,,,,,,,,,98
Munenori Kawasaki,2006,FSH,513,,,0.59,,,,,0.098,,,,,,,,,68
Alex Ramirez,2006,YAK,636,,,0.18,,,,,0.182,,,,,,,,,99
Tomonori Maeda,2006,HIR,522,,,0.95,,,,,0.197,,,,,,,,,131
Tsuyoshi Shinjo,2006,NHF,477,,,0.32,,,,,0.158,,,,,,,,,117
Kosuke Fukudome,2006,CND,578,,,0.81,,,,,0.302,,,,,,,,,171
Takashi Toritani,2006,HST,609,,,0.54,,,,,0.142,,,,,,,,,127
Yosuke Takasu,2006,RAK,477,,,0.73,,,,,0.057,,,,,,,,,117
Atsunori Inaba,2006,NHF,518,,,0.36,,,,,0.216,,,,,,,,,102
Shogo Akada,2006,SEI,518,,,0.46,,,,,0.08,,,,,,,,,123
Naoyuki Omura,2006,FSH,621,,,0.59,,,,,0.077,,,,,,,,,94
Norichika Aoki,2006,YAK,680,,,0.87,,,,,0.119,,,,,,,,,83
Arihito Muramatsu,2006,ORI,439,,,0.50,,,,,0.07,,,,,,,,,111
Masahiko Morino,2006,CND,469,,,0.49,,,,,0.114,,,,,,,,,111
Shuichi Murata,2006,YB,611,,,0.25,,,,,0.253,,,,,,,,,156
Tomoaki Kanemoto,2006,HST,634,,,0.81,,,,,0.202,,,,,,,,,89
Tomohiro Nioka,2007,YOM,562,,,0.37,,,,,0.161,,,,,,,,,141
Greg LaRocca,2007,ORI,576,,,0.53,,,,,0.219,,,,,,,,,104
Masahiko Morino,2007,CND,607,,,0.63,,,,,0.164,,,,,,,,,129
Takashi Toritani,2007,HST,642,,,0.59,,,,,0.101,,,,,,,,,155
Takeshi Yamasaki,2007,RAK,594,,,0.50,,,,,0.316,,,,,,,,,127
Norichika Aoki,2007,YAK,652,,,1.21,,,,,0.162,,,,,,,,,90
Atsunori Inaba,2007,NHF,579,,,0.51,,,,,0.171,,,,,,,,,111
Toru Hosokawa,2007,SEI,448,,,0.21,,,,,0.127,,,,,,,,,138
Hitoshi Tamura,2007,FSH,553,,,0.32,,,,,0.143,,,,,,,,,97
Toshihisa Nishi,2007,YB,606,,,0.57,,,,,0.11,,,,,,,,,86
Benny Agbayani,2007,LOT,454,,,0.62,,,,,0.154,,,,,,,,,126
Yoshinobu Takahashi,2007,YOM,590,,,0.62,,,,,0.27,,,,,,,,,152
Hirotoshi Kitagawa,2007,ORI,602,,,0.39,,,,,0.093,,,,,,,,,118
Masahiro Araki,2007,CND,510,,,0.40,,,,,0.039,,,,,,,,,91
Teppei Tsuchiya,2007,RAK,524,,,0.49,,,,,0.11,,,,,,,,,77
Tomoaki Kanemoto,2007,HST,624,,,0.72,,,,,0.218,,,,,,,,,146
Shinya Miyamoto,2007,YAK,514,,,0.40,,,,,0.084,,,,,,,,,91
Fernando Seguignol,2007,NHF,546,,,0.50,,,,,0.179,,,,,,,,,132
Yasuyuki Kataoka,2007,SEI,486,,,0.33,,,,,0.076,,,,,,,,,118
Naoyuki Omura,2007,FSH,487,,,0.18,,,,,0.051,,,,,,,,,102
Yuki Yoshimura,2007,YB,566,,,0.32,,,,,0.195,,,,,,,,,97
Yoshitomo Tani,2007,YOM,595,,,0.63,,,,,0.113,,,,,,,,,132
Tuffy Rhodes,2007,ORI,554,,,0.60,,,,,0.313,,,,,,,,,112
Motonobu Tanishige,2007,CND,474,,,0.73,,,,,0.086,,,,,,,,,78
Yosuke Takasu,2007,RAK,551,,,0.63,,,,,0.064,,,,,,,,,87
Akihiro Higashide,2007,HIR,516,,,0.60,,,,,0.026,,,,,,,,,126
Yasushi Iihara,2007,YAK,467,,,0.22,,,,,0.122,,,,,,,,,117
Hichori Morimoto,2007,NHF,660,,,0.42,,,,,0.072,,,,,,,,,137
Jose Fernandez,2007,RAK,502,,,0.52,,,,,0.187,,,,,,,,,138
Nobuhiko Matsunaka,2007,FSH,519,,,1.03,,,,,0.166,,,,,,,,,112
Aaron Guiel,2007,YAK,611,,,0.60,,,,,0.247,,,,,,,,,71
Daisuke Hayakawa,2007,LOT,536,,,0.46,,,,,0.105,,,,,,,,,127
Alex Cabrera,2007,SEI,501,,,0.49,,,,,0.218,,,,,,,,,128
Norihiro Nakamura,2007,CND,521,,,0.59,,,,,0.184,,,,,,,,,95
Ryoji Aikawa,2007,YB,450,,,0.78,,,,,0.051,,,,,,,,,109
Eishin Soyogi,2007,HIR,588,,,0.54,,,,,0.158,,,,,,,,,80
Kensuke Tanaka,2007,NHF,638,,,0.40,,,,,0.089,,,,,,,,,112
Michihiro Ogasawara,2007,YOM,617,,,0.44,,,,,0.226,,,,,,,,,80
Koichi Isobe,2007,RAK,486,,,0.46,,,,,0.088,,,,,,,,,156
Yuichi Honda,2007,FSH,612,,,0.31,,,,,0.075,,,,,,,,,148
Saburo Omura,2007,LOT,528,,,0.41,,,,,0.121,,,,,,,,,101
Hiroyuki Nakajima,2007,SEI,593,,,0.31,,,,,0.139,,,,,,,,,128
Ty Woods,2007,CND,593,,,0.79,,,,,0.26,,,,,,,,,163
Shuichi Murata,2007,YB,615,,,0.56,,,,,0.266,,,,,,,,,113
Kenta Kurihara,2007,HIR,622,,,0.49,,,,,0.202,,,,,,,,,124
Makoto Kaneko,2007,NHF,470,,,0.35,,,,,0.084,,,,,,,,,98
Byung-Kyu Lee,2007,CND,508,,,0.21,,,,,0.109,,,,,,,,,100
Seung-Yeop Lee,2007,YOM,583,,,0.32,,,,,0.227,,,,,,,,,143
Andy Sheets,2007,HST,544,,,0.32,,,,,0.094,,,,,,,,,127
Naoto Watanabe,2007,RAK,472,,,0.74,,,,,0.061,,,,,,,,,150
Alex Ramirez,2007,YAK,628,,,0.22,,,,,0.226,,,,,,,,,61
Tomoya Satozaki,2007,LOT,528,,,0.33,,,,,0.157,,,,,,,,,105
Kazuhiro Wada,2007,SEI,548,,,0.65,,,,,0.158,,,,,,,,,97
Hiroki Kokubo,2007,FSH,514,,,0.40,,,,,0.217,,,,,,,,,161
Takahiro Saeki,2007,YB,447,,,0.63,,,,,0.196,,,,,,,,,71
Takahiro Arai,2007,HIR,619,,,0.40,,,,,0.191,,,,,,,,,61
Shinnosuke Abe,2007,YOM,580,,,0.75,,,,,0.238,,,,,,,,,94
Arihito Muramatsu,2007,ORI,506,,,0.47,,,,,0.038,,,,,,,,,111
Hirokazu Ibata,2007,CND,665,,,0.85,,,,,0.097,,,,,,,,,80
Norihiro Akahoshi,2007,HST,475,,,0.67,,,,,0.035,,,,,,,,,105
Rick Short,2007,RAK,458,,,0.66,,,,,0.103,,,,,,,,,186
Hiroyasu Tanaka,2007,YAK,543,,,0.65,,,,,0.12,,,,,,,,,70
Tsuyoshi Nishioka,2007,LOT,559,,,0.68,,,,,0.093,,,,,,,,,121
G.G. Sato,2007,SEI,542,,,0.37,,,,,0.23,,,,,,,,,88
Hiroshi Shibahara,2007,FSH,472,,,0.36,,,,,0.121,,,,,,,,,127
Tatsuhiko Kinjo,2007,YB,580,,,0.77,,,,,0.143,,,,,,,,,102
Tomonori Maeda,2007,HIR,446,,,0.65,,,,,0.15,,,,,,,,,90
Tomotaka Sakaguchi,2008,ORI,588,,,0.30,,,,,0.061,,,,,,,,,98
Yosuke Takasu,2008,RAK,449,,,0.76,,,,,0.089,,,,,,,,,137
Kentaro Sekimoto,2008,HST,521,,,0.89,,,,,0.123,,,,,,,,,130
Alex Ramirez,2008,YOM,600,,,0.43,,,,,0.297,,,,,,,,,157
Hichori Morimoto,2008,NHF,549,,,0.60,,,,,0.036,,,,,,,,,118
Ty Woods,2008,CND,573,,,0.57,,,,,0.251,,,,,,,,,127
Yasuyuki Kataoka,2008,SEI,634,,,0.42,,,,,0.084,,,,,,,,,170
Hiroyasu Tanaka,2008,YAK,604,,,0.63,,,,,0.071,,,,,,,,,154
Kenta Kurihara,2008,HIR,616,,,0.62,,,,,0.183,,,,,,,,,156
Tuffy Rhodes,2008,ORI,600,,,0.66,,,,,0.307,,,,,,,,,127
Seiichi Uchikawa,2008,YB,544,,,0.63,,,,,0.162,,,,,,,,,69
Norihiro Akahoshi,2008,HST,646,,,0.84,,,,,0.031,,,,,,,,,130
Hayato Sakamoto,2008,YOM,567,,,0.29,,,,,0.096,,,,,,,,,83
Kensuke Tanaka,2008,NHF,638,,,0.78,,,,,0.155,,,,,,,,,63
Munenori Kawasaki,2008,FSH,457,,,0.40,,,,,0.073,,,,,,,,,131
Jose Fernandez,2008,RAK,606,,,0.68,,,,,0.174,,,,,,,,,87
Kazuhiro Hatakeyama,2008,YAK,479,,,0.63,,,,,0.127,,,,,,,,,94
Yoshiyuki Ishihara,2008,HIR,457,,,0.28,,,,,0.109,,,,,,,,,124
Craig Brazell,2008,SEI,521,,,0.22,,,,,0.212,,,,,,,,,126
Byung-Kyu Lee,2008,CND,448,,,0.25,,,,,0.163,,,,,,,,,124
Shuichi Murata,2008,YB,554,,,0.49,,,,,0.342,,,,,,,,,82
Takashi Toritani,2008,HST,605,,,0.80,,,,,0.13,,,,,,,,,106
Michihiro Ogasawara,2008,YOM,589,,,0.53,,,,,0.263,,,,,,,,,81
Terrmel Sledge,2008,NHF,446,,,0.50,,,,,0.185,,,,,,,,,105
Naoto Watanabe,2008,RAK,567,,,0.82,,,,,0.032,,,,,,,,,117
Nobuhiko Matsunaka,2008,FSH,632,,,0.85,,,,,0.199,,,,,,,,,144
Kazuki Fukuchi,2008,YAK,532,,,0.32,,,,,0.13,,,,,,,,,114
Shoitsu Omatsu,2008,LOT,489,,,0.45,,,,,0.237,,,,,,,,,116
Hiroyuki Nakajima,2008,SEI,556,,,0.57,,,,,0.195,,,,,,,,,123
Hirokazu Ibata,2008,CND,466,,,0.66,,,,,0.091,,,,,,,,,97
Tatsuhiko Kinjo,2008,YB,532,,,0.50,,,,,0.092,,,,,,,,,81
Tomoaki Kanemoto,2008,HST,623,,,0.78,,,,,0.221,,,,,,,,,76
Shinnosuke Abe,2008,YOM,484,,,0.67,,,,,0.231,,,,,,,,,121
Alex Cabrera,2008,ORI,576,,,0.56,,,,,0.278,,,,,,,,,140
Rick Short,2008,RAK,525,,,0.49,,,,,0.145,,,,,,,,,76
Nobuhiro Matsuda,2008,FSH,595,,,0.24,,,,,0.189,,,,,,,,,121
Norichika Aoki,2008,YAK,500,,,0.89,,,,,0.182,,,,,,,,,95
Toshiaki Imae,2008,LOT,450,,,0.40,,,,,0.2,,,,,,,,,162
Takeya Nakamura,2008,SEI,590,,,0.33,,,,,0.324,,,,,,,,,72
Kazuhiro Wada,2008,CND,560,,,0.48,,,,,0.173,,,,,,,,,87
Toshihisa Nishi,2008,YB,535,,,0.35,,,,,0.13,,,,,,,,,151
Mitsutaka Goto,2008,ORI,447,,,0.18,,,,,0.18,,,,,,,,,98
Takeshi Yamasaki,2008,RAK,589,,,0.62,,,,,0.194,,,,,,,,,146
Yuichi Honda,2008,FSH,489,,,0.31,,,,,0.064,,,,,,,,,166
Tsuyoshi Nishioka,2008,LOT,522,,,0.53,,,,,0.163,,,,,,,,,112
Shinya Miyamoto,2008,YAK,482,,,0.50,,,,,0.047,,,,,,,,,160
Takumi Kuriyama,2008,SEI,612,,,0.80,,,,,0.133,,,,,,,,,114
Masahiro Araki,2008,CND,591,,,0.43,,,,,0.058,,,,,,,,,129
Yuki Yoshimura,2008,YB,574,,,0.22,,,,,0.264,,,,,,,,,119
Akihiro Higashide,2008,HIR,576,,,0.38,,,,,0.027,,,,,,,,,185
Takeshi Hidaka,2008,ORI,474,,,0.42,,,,,0.163,,,,,,,,,95
Teppei Tsuchiya,2008,RAK,482,,,0.81,,,,,0.133,,,,,,,,,152
Keiichi Hirano,2008,HST,452,,,0.56,,,,,0.044,,,,,,,,,111
Atsunori Inaba,2008,NHF,513,,,0.66,,,,,0.212,,,,,,,,,104
Yasushi Iihara,2008,YAK,469,,,0.48,,,,,0.143,,,,,,,,,131
Norihiro Nakamura,2008,CND,557,,,0.42,,,,,0.187,,,,,,,,,132
Toru Hosokawa,2008,SEI,446,,,0.09,,,,,0.173,,,,,,,,,70
Alex Ochoa,2008,HIR,605,,,0.51,,,,,0.134,,,,,,,,,80
Keizo Kawashima,2009,YAK,485,,,0.42,,,,,0.124,,,,,,,,,170
Aaron Guiel,2009,YAK,482,,,0.52,,,,,0.267,,,,,,,,,107
Kenta Kurihara,2009,HIR,582,,,0.59,,,,,0.173,,,,,,,,,91
Shinji Takahashi,2009,NHF,558,,,0.45,,,,,0.094,,,,,,,,,162
Naoto Watanabe,2009,RAK,547,,,0.80,,,,,0.067,,,,,,,,,145
Keiichi Hirano,2009,HST,462,,,0.42,,,,,0.062,,,,,,,,,92
Tomoya Satozaki,2009,LOT,479,,,0.40,,,,,0.13,,,,,,,,,139
Shinnosuke Abe,2009,YOM,462,,,0.39,,,,,0.293,,,,,,,,,157
Hiroki Kokubo,2009,FSH,605,,,0.50,,,,,0.152,,,,,,,,,87
Hiroyuki Nakajima,2009,SEI,648,,,0.66,,,,,0.184,,,,,,,,,108
Norichika Aoki,2009,YAK,624,,,1.15,,,,,0.141,,,,,,,,,96
Hiroyasu Tanaka,2009,YAK,514,,,0.68,,,,,0.092,,,,,,,,,144
Masato Akamatsu,2009,HIR,489,,,0.42,,,,,0.092,,,,,,,,,153
Terrmel Sledge,2009,NHF,487,,,0.54,,,,,0.263,,,,,,,,,131
Hirokazu Ibata,2009,CND,657,,,1.09,,,,,0.076,,,,,,,,,133
Takeshi Yamasaki,2009,RAK,611,,,0.59,,,,,0.269,,,,,,,,,137
Kentaro Sekimoto,2009,HST,462,,,0.64,,,,,0.082,,,,,,,,,98
Yoshiyuki Kamei,2009,YOM,547,,,0.61,,,,,0.22,,,,,,,,,125
Tsuyoshi Nishioka,2009,LOT,531,,,0.88,,,,,0.167,,,,,,,,,133
G.G. Sato,2009,SEI,556,,,0.36,,,,,0.217,,,,,,,,,135
Jose Ortiz,2009,FSH,458,,,0.44,,,,,0.214,,,,,,,,,131
Ryoji Aikawa,2009,YAK,446,,,0.33,,,,,0.092,,,,,,,,,83
Scott McClain,2009,HIR,447,,,0.40,,,,,0.18,,,,,,,,,155
Kazuhiro Wada,2009,CND,592,,,1.21,,,,,0.23,,,,,,,,,68
Teppei Tsuchiya,2009,RAK,565,,,0.62,,,,,0.177,,,,,,,,,142
Takahiro Arai,2009,HST,599,,,0.34,,,,,0.142,,,,,,,,,138
Atsunori Inaba,2009,NHF,587,,,0.68,,,,,0.192,,,,,,,,,120
Takeya Nakamura,2009,SEI,562,,,0.34,,,,,0.365,,,,,,,,,100
Munenori Kawasaki,2009,FSH,640,,,0.52,,,,,0.1,,,,,,,,,146
Kazuya Fukuura,2009,LOT,460,,,0.71,,,,,0.091,,,,,,,,,111
