Name,Year,T,IP,K%,BB%,K-BB%,HR%,AVG,WHIP,DER,LOB%,RA-,FIP-,xFIP-,RA,FIP,R-F,xFIP,tRA,FAv,ERA
Shinobu Fukuhara,2005,,171.7,,,0.11,,,,,,,,,,4.46,,,,,3.51
Yoshihiro Doi,2005,,164.7,,,0.113,,,,,,,,,,5.30,,,,,3.83
Toshiya Sugiuchi,2005,,196.7,,,0.229,,,,,,,,,,2.78,,,,,2.11
Hisashi Iwakuma,2005,,182.3,,,0.106,,,,,,,,,,4.12,,,,,4.99
Kenshin Kawakami,2005,,180.3,,,0.149,,,,,,,,,,3.87,,,,,3.74
Daisuke Matsuzaka,2005,,215,,,0.204,,,,,,,,,,2.95,,,,,2.30
Satoru Kanemura,2005,,174,,,0.058,,,,,,,,,,4.86,,,,,3.62
Hiroyuki Kobayashi,2005,,160.7,,,0.152,,,,,,,,,,3.58,,,,,3.30
Koji Uehara,2005,,187.3,,,0.165,,,,,,,,,,3.97,,,,,3.31
Hiroki Kuroda,2005,,212.7,,,0.144,,,,,,,,,,3.64,,,,,3.17
Shohei Tateyama,2005,,150.3,,,0.124,,,,,,,,,,3.86,,,,,3.95
Kei Igawa,2005,,172.3,,,0.113,,,,,,,,,,4.58,,,,,3.86
Ken Kadokura,2005,,197.7,,,0.121,,,,,,,,,,4.19,,,,,3.37
Nagisa Arakaki,2005,,136.7,,,0.127,,,,,,,,,,4.13,,,,,4.61
Kazuyuki Hoashi,2005,,158.7,,,0.133,,,,,,,,,,3.69,,,,,4.03
Jeremy Powell,2005,,200,,,0.125,,,,,,,,,,4.12,,,,,3.51
Shunsuke Watanabe,2005,,187,,,0.102,,,,,,,,,,3.85,,,,,2.17
Dan Serafini,2005,,151.3,,,0.097,,,,,,,,,,4.10,,,,,2.91
Hisanori Takahashi,2005,,163,,,0.125,,,,,,,,,,4.21,,,,,4.47
Yuya Ando,2005,,146,,,0.159,,,,,,,,,,3.86,,,,,3.39
Masanori Ishikawa,2005,,149.7,,,0.127,,,,,,,,,,4.17,,,,,4.87
Tsuyoshi Wada,2005,,181.7,,,0.148,,,,,,,,,,3.67,,,,,3.27
Daisuke Miura,2005,,214.7,,,0.146,,,,,,,,,,3.82,,,,,2.52
Kazumi Saito,2005,,157,,,0.138,,,,,,,,,,3.95,,,,,2.92
Fumiya Nishiguchi,2005,,172,,,0.147,,,,,,,,,,3.59,,,,,2.77
Yusaku Iriki,2005,,150.7,,,0.087,,,,,,,,,,4.62,,,,,3.35
Naoyuki Shimizu,2005,,164.3,,,0.09,,,,,,,,,,5.16,,,,,3.83
Kan Otake,2005,,161.7,,,0.101,,,,,,,,,,4.97,,,,,5.62
Shugo Fujii,2005,,176,,,0.107,,,,,,,,,,4.76,,,,,3.43
Jeremy Powell,2006,,187.3,,,0.128,,,,,,,,,,3.33,,,,,3.31
Kazuhisa Ishii,2006,,177.7,,,0.144,,,,,,,,,,3.71,,,,,3.44
Shingo Ono,2006,,145.7,,,0.055,,,,,,,,,,4.25,,,,,2.66
Yasuhiro Ichiba,2006,,193.7,,,0.094,,,,,,,,,,4.36,,,,,4.37
Shinji Sasaoka,2006,,149.7,,,0.086,,,,,,,,,,5.07,,,,,4.09
Tsuyoshi Shimoyanagi,2006,,150.3,,,0.048,,,,,,,,,,4.54,,,,,3.17
Fumiya Nishiguchi,2006,,177.3,,,0.116,,,,,,,,,,4.39,,,,,3.55
Tsuyoshi Wada,2006,,163.3,,,0.143,,,,,,,,,,3.86,,,,,2.98
Tom Davey,2006,,165,,,0.035,,,,,,,,,,4.20,,,,,2.62
Tomoya Yagi,2006,,170.7,,,0.083,,,,,,,,,,3.85,,,,,2.48
Masahiro Yamamoto,2006,,170.7,,,0.128,,,,,,,,,,3.52,,,,,3.32
Tetsuya Utsumi,2006,,194,,,0.16,,,,,,,,,,3.34,,,,,2.78
Rick Guttormson,2006,,173.7,,,0.128,,,,,,,,,,3.38,,,,,2.85
Yasutomo Kubo,2006,,140.3,,,0.144,,,,,,,,,,3.47,,,,,4.55
Ken Kadokura,2006,,154.3,,,0.091,,,,,,,,,,4.57,,,,,4.84
Naoyuki Shimizu,2006,,171,,,0.141,,,,,,,,,,3.11,,,,,3.42
Hiroki Yamamura,2006,,136.3,,,0.018,,,,,,,,,,5.43,,,,,5.35
Kan Otake,2006,,157,,,0.082,,,,,,,,,,5.15,,,,,4.93
Shinobu Fukuhara,2006,,154.7,,,0.121,,,,,,,,,,3.51,,,,,2.09
Daisuke Matsuzaka,2006,,186.3,,,0.23,,,,,,,,,,2.65,,,,,2.13
Hidetaka Kawagoe,2006,,163.3,,,0.067,,,,,,,,,,4.16,,,,,3.14
Nagisa Arakaki,2006,,155.3,,,0.164,,,,,,,,,,3.22,,,,,3.01
Kenta Asakura,2006,,154.7,,,0.116,,,,,,,,,,3.73,,,,,2.79
Koji Uehara,2006,,168.3,,,0.193,,,,,,,,,,3.85,,,,,3.21
Masanori Ishikawa,2006,,151,,,0.099,,,,,,,,,,3.76,,,,,4.53
Shunsuke Watanabe,2006,,147,,,0.11,,,,,,,,,,3.88,,,,,4.35
Daisuke Miura,2006,,216.7,,,0.127,,,,,,,,,,3.71,,,,,3.45
Hiroyuki Kobayashi,2006,,142.7,,,0.161,,,,,,,,,,3.51,,,,,2.78
Hideaki Wakui,2006,,178,,,0.113,,,,,,,,,,3.98,,,,,3.24
Hiroki Kuroda,2006,,189.3,,,0.165,,,,,,,,,,3.12,,,,,1.85
Kei Igawa,2006,,209,,,0.172,,,,,,,,,,3.39,,,,,2.97
Yoshihisa Hirano,2006,,172.3,,,0.09,,,,,,,,,,3.73,,,,,3.81
Yu Darvish,2006,,149.7,,,0.081,,,,,,,,,,4.25,,,,,2.89
Kazumi Saito,2006,,201,,,0.201,,,,,,,,,,2.66,,,,,1.75
Kenshin Kawakami,2006,,215,,,0.184,,,,,,,,,,3.57,,,,,2.51
Hayato Terahara,2007,,184.7,,,0.154,,,,,,,,,,3.83,,,,,3.36
Hiroyuki Kobayashi,2007,,170.7,,,0.179,,,,,,,,,,2.85,,,,,2.69
Hideki Asai,2007,,144.3,,,0.111,,,,,,,,,,3.14,,,,,3.12
Tsuyoshi Wada,2007,,182,,,0.168,,,,,,,,,,3.27,,,,,2.82
Fumiya Nishiguchi,2007,,153.7,,,0.091,,,,,,,,,,4.49,,,,,4.28
Kenshin Kawakami,2007,,167.3,,,0.175,,,,,,,,,,3.52,,,,,3.55
Yu Darvish,2007,,207.7,,,0.204,,,,,,,,,,2.71,,,,,1.82
Yoshihisa Naruse,2007,,173.3,,,0.164,,,,,,,,,,3.01,,,,,1.82
Tetsuya Utsumi,2007,,187.7,,,0.169,,,,,,,,,,3.47,,,,,3.02
Seth Greisinger,2007,,209,,,0.153,,,,,,,,,,3.19,,,,,2.84
Daisuke Miura,2007,,185.3,,,0.136,,,,,,,,,,3.59,,,,,3.06
Kan Otake,2007,,145.7,,,0.072,,,,,,,,,,4.62,,,,,3.77
Takayuki Kishi,2007,,156.3,,,0.134,,,,,,,,,,4.05,,,,,3.40
Toshiya Sugiuchi,2007,,197.7,,,0.178,,,,,,,,,,2.98,,,,,2.46
Yoshihisa Hirano,2007,,171.7,,,0.135,,,,,,,,,,3.81,,,,,3.72
Kenichi Nakata,2007,,170.3,,,0.13,,,,,,,,,,3.86,,,,,3.59
Ryan Glynn,2007,,155,,,0.126,,,,,,,,,,4.01,,,,,2.21
Shunsuke Watanabe,2007,,177,,,0.083,,,,,,,,,,3.90,,,,,2.44
Hisanori Takahashi,2007,,186.7,,,0.119,,,,,,,,,,4.12,,,,,2.75
Kazuhisa Ishii,2007,,166.7,,,0.16,,,,,,,,,,4.07,,,,,4.16
Masahiro Tanaka,2007,,186.3,,,0.16,,,,,,,,,,3.58,,,,,3.82
Hiroki Kuroda,2007,,179.7,,,0.11,,,,,,,,,,4.20,,,,,3.56
Hideaki Wakui,2007,,213,,,0.104,,,,,,,,,,3.63,,,,,2.79
Kenta Asakura,2007,,171.7,,,0.077,,,,,,,,,,3.71,,,,,3.36
Tom Davey,2007,,162.7,,,0.049,,,,,,,,,,4.05,,,,,3.21
Masaru Takeda,2007,,149,,,0.148,,,,,,,,,,4.03,,,,,2.54
Naoyuki Shimizu,2007,,145,,,0.094,,,,,,,,,,4.07,,,,,4.78
Hiroshi Kisanuki,2007,,148.7,,,0.157,,,,,,,,,,3.74,,,,,3.09
Tsuyoshi Shimoyanagi,2008,,162.3,,,0.072,,,,,,,,,,3.88,,,,,2.99
Toshiya Sugiuchi,2008,,196,,,0.228,,,,,,,,,,2.90,,,,,2.66
Seth Greisinger,2008,,206,,,0.162,,,,,,,,,,3.56,,,,,3.06
Daisuke Miura,2008,,144,,,0.139,,,,,,,,,,4.49,,,,,3.56
Hideki Asai,2008,,148,,,0.094,,,,,,,,,,4.54,,,,,4.38
Hideaki Wakui,2008,,173,,,0.096,,,,,,,,,,4.27,,,,,3.90
Kazuki Kondo,2008,,149,,,0.071,,,,,,,,,,4.11,,,,,3.44
Ryan Glynn,2008,,163.3,,,0.054,,,,,,,,,,4.94,,,,,3.64
Shunsuke Watanabe,2008,,172.7,,,0.102,,,,,,,,,,4.25,,,,,4.17
Colby Lewis,2008,,178,,,0.222,,,,,,,,,,2.64,,,,,2.68
Minoru Iwata,2008,,159.3,,,0.075,,,,,,,,,,3.57,,,,,3.28
Kenji Otonari,2008,,155.7,,,0.159,,,,,,,,,,3.95,,,,,3.12
Shohei Tateyama,2008,,153.3,,,0.108,,,,,,,,,,3.87,,,,,2.99
Masahiro Tanaka,2008,,172.7,,,0.145,,,,,,,,,,3.28,,,,,3.49
Takayuki Kishi,2008,,168.3,,,0.129,,,,,,,,,,3.75,,,,,3.42
Shogo Yamamoto,2008,,154.7,,,0.093,,,,,,,,,,4.02,,,,,3.38
Chihiro Kaneko,2008,,165,,,0.128,,,,,,,,,,4.22,,,,,3.98
Brian Sweeney,2008,,163,,,0.026,,,,,,,,,,5.68,,,,,3.48
Naoyuki Shimizu,2008,,165.7,,,0.099,,,,,,,,,,3.95,,,,,3.75
Yuya Ando,2008,,154.7,,,0.107,,,,,,,,,,3.48,,,,,3.20
Tsuyoshi Wada,2008,,162,,,0.13,,,,,,,,,,3.67,,,,,3.61
Tetsuya Utsumi,2008,,184.3,,,0.111,,,,,,,,,,3.33,,,,,2.73
Masanori Ishikawa,2008,,195,,,0.09,,,,,,,,,,4.28,,,,,2.68
Hisashi Iwakuma,2008,,201.7,,,0.156,,,,,,,,,,2.70,,,,,1.87
Kazuyuki Hoashi,2008,,174.7,,,0.106,,,,,,,,,,3.89,,,,,2.63
Satoshi Komatsu,2008,,172.3,,,0.158,,,,,,,,,,3.57,,,,,2.51
Yu Darvish,2008,,200.7,,,0.215,,,,,,,,,,2.92,,,,,1.88
Yoshihisa Naruse,2008,,150.7,,,0.136,,,,,,,,,,3.73,,,,,3.23
Kan Otake,2008,,171,,,0.043,,,,,,,,,,4.86,,,,,3.84
Hisashi Iwakuma,2009,,169,,,0.11,,,,,,,,,,4.02,,,,,3.25
Hideaki Wakui,2009,,211.7,,,0.143,,,,,,,,,,3.49,,,,,2.30
Chihiro Kaneko,2009,,171.7,,,0.192,,,,,,,,,,3.33,,,,,2.57
Yoshihisa Naruse,2009,,153.7,,,0.204,,,,,,,,,,3.20,,,,,3.28
Naoyuki Shimizu,2009,,144.7,,,0.072,,,,,,,,,,4.34,,,,,4.42
Colby Lewis,2009,,176.3,,,0.234,,,,,,,,,,2.66,,,,,2.96
Atsushi Nomi,2009,,165,,,0.163,,,,,,,,,,3.11,,,,,2.62
Weiyin Chen,2009,,164,,,0.165,,,,,,,,,,3.03,,,,,1.54
Seth Greisinger,2009,,161,,,0.096,,,,,,,,,,3.57,,,,,3.47
Shohei Tateyama,2009,,188.3,,,0.102,,,,,,,,,,4.13,,,,,3.39
Satoshi Nagai,2009,,171,,,0.134,,,,,,,,,,4.05,,,,,3.42
Takayuki Kishi,2009,,179.7,,,0.113,,,,,,,,,,4.69,,,,,3.26
Shogo Yamamoto,2009,,159.7,,,0.092,,,,,,,,,,4.48,,,,,4.23
Yu Darvish,2009,,182,,,0.174,,,,,,,,,,3.08,,,,,1.73
Shunsuke Watanabe,2009,,144.3,,,0.045,,,,,,,,,,4.41,,,,,4.05
Kenta Maeda,2009,,193,,,0.148,,,,,,,,,,3.67,,,,,3.36
Yuya Ando,2009,,164,,,0.064,,,,,,,,,,4.39,,,,,3.90
Toshiya Sugiuchi,2009,,191,,,0.185,,,,,,,,,,3.30,,,,,2.36
Tetsuya Utsumi,2009,,179.7,,,0.108,,,,,,,,,,4.32,,,,,2.96
Kenta Asakura,2009,,151.3,,,0.058,,,,,,,,,,4.37,,,,,4.04
Hisanori Takahashi,2009,,144,,,0.148,,,,,,,,,,3.77,,,,,2.94
Masanori Ishikawa,2009,,198.3,,,0.069,,,,,,,,,,4.53,,,,,3.54
Masahiro Tanaka,2009,,189.7,,,0.166,,,,,,,,,,3.33,,,,,2.33
Kazuyuki Hoashi,2009,,163,,,0.124,,,,,,,,,,3.51,,,,,3.59
Kazuki Kondo,2009,,152.7,,,0.016,,,,,,,,,,5.65,,,,,4.78
Masaru Takeda,2009,,144.3,,,0.133,,,,,,,,,,4.05,,,,,3.55
Shingo Ono,2009,,144,,,0.066,,,,,,,,,,4.66,,,,,3.81
Kan Otake,2009,,185.7,,,0.086,,,,,,,,,,3.56,,,,,2.81
Yasutomo Kubo,2009,,151.3,,,0.098,,,,,,,,,,4.27,,,,,3.75
D.J. Houlton,2009,,171,,,0.14,,,,,,,,,,4.41,,,,,2.89
Shun Tono,2009,,153.3,,,0.117,,,,,,,,,,4.41,,,,,3.17
Kazuki Yoshimi,2009,,189.3,,,0.152,,,,,,,,,,2.90,,,,,2.00
Dicky Gonzalez,2009,,162,,,0.137,,,,,,,,,,3.32,,,,,2.11
Daisuke Miura,2009,,195.3,,,0.126,,,,,,,,,,4.32,,,,,3.32
Yasutomo Kubo,2010,,202.3,,,0.138,,,,,,,,,,4.10,,,,,3.25
Weiyin Chen,2010,,188,,,0.135,,,,,,,,,,4.18,,,,,2.87
Shohei Tateyama,2010,,147.7,,,0.145,,,,,,,,,,3.96,,,,,2.93
Shigeru Kaga,2010,,145,,,0.089,,,,,,,,,,4.30,,,,,3.66
Masahiro Tanaka,2010,,155,,,0.135,,,,,,,,,,3.52,,,,,2.50
Kazuyuki Hoashi,2010,,163.3,,,0.1,,,,,,,,,,4.21,,,,,3.69
Tetsuya Utsumi,2010,,148,,,0.14,,,,,,,,,,3.71,,,,,4.38
Chihiro Kaneko,2010,,204.3,,,0.176,,,,,,,,,,3.50,,,,,3.30
Bobby Keppel,2010,,158.7,,,0.048,,,,,,,,,,4.52,,,,,3.35
Bill Murphy,2010,,144,,,0.065,,,,,,,,,,4.52,,,,,3.75
Tsuyoshi Wada,2010,,169.3,,,0.164,,,,,,,,,,3.44,,,,,3.14
Kazuki Yoshimi,2010,,156.7,,,0.137,,,,,,,,,,4.05,,,,,3.50
Masanori Ishikawa,2010,,186.3,,,0.091,,,,,,,,,,4.32,,,,,3.53
Naoyuki Shimizu,2010,,155,,,0.094,,,,,,,,,,5.09,,,,,5.40
Hisashi Iwakuma,2010,,201,,,0.143,,,,,,,,,,3.49,,,,,2.82
Hideaki Wakui,2010,,196.3,,,0.121,,,,,,,,,,4.33,,,,,3.67
Shun Tono,2010,,157,,,0.126,,,,,,,,,,3.78,,,,,3.27
Yu Darvish,2010,,202,,,0.217,,,,,,,,,,2.53,,,,,1.78
Yoshihisa Naruse,2010,,203.7,,,0.193,,,,,,,,,,4.11,,,,,3.31
Kenta Maeda,2010,,215.7,,,0.151,,,,,,,,,,3.44,,,,,2.21
Toshiya Sugiuchi,2010,,182.7,,,0.203,,,,,,,,,,3.18,,,,,3.55
Kyohei Muranaka,2010,,178,,,0.123,,,,,,,,,,4.00,,,,,3.44
Satoshi Nagai,2010,,182.7,,,0.072,,,,,,,,,,4.88,,,,,3.74
Darrell Rasner,2010,,152.7,,,0.09,,,,,,,,,,4.45,,,,,4.48
Hiroshi Kisanuki,2010,,174.3,,,0.09,,,,,,,,,,4.11,,,,,3.98
Yoshinori Sato,2010,,167.7,,,0.104,,,,,,,,,,3.92,,,,,3.60
Masaru Takeda,2010,,168.3,,,0.132,,,,,,,,,,3.61,,,,,2.41
Shunsuke Watanabe,2010,,148.3,,,0.028,,,,,,,,,,4.67,,,,,4.49
Yu Darvish,2011,,232,,,0.271,,,,,,,,,,1.59,,,,,1.44
Shun Tono,2011,,161,,,0.09,,,,,,,,,,3.27,,,,,3.47
Bobby Keppel,2011,,162,,,0.014,,,,,,,,,,4.39,,,,,3.22
Masanori Ishikawa,2011,,178.3,,,0.116,,,,,,,,,,3.72,,,,,2.73
Yuya Fukui,2011,,146.3,,,0.081,,,,,,,,,,4.24,,,,,4.12
Randy Messenger,2011,,150,,,0.125,,,,,,,,,,2.86,,,,,2.88
Masahiro Tanaka,2011,,226.3,,,0.247,,,,,,,,,,1.89,,,,,1.27
Shinya Nakayama,2011,,156.3,,,0.076,,,,,,,,,,3.98,,,,,2.94
Atsushi Nomi,2011,,200.3,,,0.164,,,,,,,,,,2.56,,,,,2.52
Tadashi Settsu,2011,,177.7,,,0.17,,,,,,,,,,2.79,,,,,2.79
Maximo Nelson,2011,,209.3,,,0.119,,,,,,,,,,3.14,,,,,2.54
Masaru Takeda,2011,,164.7,,,0.107,,,,,,,,,,3.02,,,,,2.46
Hirokazu Sawamura,2011,,200,,,0.164,,,,,,,,,,2.97,,,,,2.03
Yuki Karakawa,2011,,168.3,,,0.128,,,,,,,,,,2.92,,,,,2.41
Kentaro Takasaki,2011,,177.3,,,0.123,,,,,,,,,,2.94,,,,,3.45
Kenta Maeda,2011,,216,,,0.172,,,,,,,,,,2.81,,,,,2.46
Minoru Iwata,2011,,169,,,0.131,,,,,,,,,,2.88,,,,,2.29
Kazuyuki Hoashi,2011,,168.7,,,0.098,,,,,,,,,,3.43,,,,,2.83
Hayato Terahara,2011,,170.3,,,0.098,,,,,,,,,,2.95,,,,,3.06
Tsuyoshi Wada,2011,,184.7,,,0.176,,,,,,,,,,2.52,,,,,1.51
D.J. Houlton,2011,,172.3,,,0.125,,,,,,,,,,3.09,,,,,2.19
Kazuki Yoshimi,2011,,190.7,,,0.132,,,,,,,,,,2.75,,,,,1.65
Chihiro Kaneko,2011,,155.3,,,0.139,,,,,,,,,,3.04,,,,,2.43
Tetsuya Utsumi,2011,,185.7,,,0.129,,,,,,,,,,3.27,,,,,1.70
Brian Wolfe,2011,,150,,,0.084,,,,,,,,,,3.19,,,,,3.60
Shohei Tateyama,2011,,180.7,,,0.144,,,,,,,,,,3.06,,,,,2.04
Yoshihisa Naruse,2011,,189.7,,,0.174,,,,,,,,,,2.89,,,,,3.27
Bryan Bullington,2011,,204.3,,,0.112,,,,,,,,,,3.10,,,,,2.42
Takahiro Shiomi,2011,,154.7,,,0.124,,,,,,,,,,3.56,,,,,2.85
Jason Standridge,2011,,151,,,0.11,,,,,,,,,,3.38,,,,,2.92
Hideaki Wakui,2011,,178.3,,,0.09,,,,,,,,,,3.41,,,,,2.93
Toshiya Sugiuchi,2011,,171.3,,,0.189,,,,,,,,,,2.65,,,,,1.94
Weiyin Chen,2011,,164.7,,,0.096,,,,,,,,,,3.26,,,,,2.68
Kentaro Takasaki,2012,,151.7,,,0.089,,,,,,,,,,3.24,,,,,3.20
Bryan Bullington,2012,,175.7,,,0.127,,,,,,,,,,2.70,,,,,3.23
Jason Standridge,2012,,150.3,,,0.092,,,,,,,,,,3.31,,,,,2.69
Manabu Mima,2012,,154.7,,,0.114,,,,,,,,,,3.46,,,,,3.08
Hiroshi Kisanuki,2012,,152.3,,,0.086,,,,,,,,,,3.34,,,,,2.60
Kenji Otonari,2012,,177.3,,,0.125,,,,,,,,,,3.04,,,,,2.03
Tetsuya Utsumi,2012,,186,,,0.107,,,,,,,,,,2.93,,,,,1.98
Mitsuo Yoshikawa,2012,,173.7,,,0.169,,,,,,,,,,2.49,,,,,1.71
Shohei Tateyama,2012,,168.3,,,0.109,,,,,,,,,,2.87,,,,,2.25
Yoshihisa Naruse,2012,,200.7,,,0.109,,,,,,,,,,3.72,,,,,2.83
Kyohei Muranaka,2012,,144,,,0.046,,,,,,,,,,3.52,,,,,3.88
Kenta Maeda,2012,,206.3,,,0.155,,,,,,,,,,2.37,,,,,1.53
Randy Messenger,2012,,196.7,,,0.126,,,,,,,,,,2.64,,,,,2.52
Daisuke Miura,2012,,182.7,,,0.08,,,,,,,,,,3.57,,,,,2.86
Atsushi Nomi,2012,,182,,,0.183,,,,,,,,,,2.64,,,,,2.42
Takayuki Kishi,2012,,187.7,,,0.151,,,,,,,,,,2.77,,,,,2.45
Hiroki Yamada,2012,,148.7,,,0.042,,,,,,,,,,4.20,,,,,2.78
Hirokazu Sawamura,2012,,169.7,,,0.117,,,,,,,,,,3.20,,,,,2.86
Masaru Takeda,2012,,182.7,,,0.085,,,,,,,,,,3.33,,,,,2.36
Orlando Roman,2012,,165.7,,,0.038,,,,,,,,,,3.68,,,,,3.04
Seth Greisinger,2012,,168.7,,,0.132,,,,,,,,,,2.62,,,,,2.24
Katsuki Akagawa,2012,,156.7,,,0.058,,,,,,,,,,3.93,,,,,3.79
Kan Otake,2012,,144.7,,,0.068,,,,,,,,,,3.22,,,,,2.36
Minoru Iwata,2012,,153.3,,,0.102,,,,,,,,,,3.12,,,,,3.52
Masahiro Tanaka,2012,,173,,,0.216,,,,,,,,,,1.83,,,,,1.87
