Name,Year,T,IP,K%,BB%,K-BB%,HR%,AVG,WHIP,DER,LOB%,RA-,FIP-,xFIP-,RA,FIP,R-F,xFIP,tRA,FAv,ERA
Kazuhisa Makita,2012,,178,,,0.097,,,,,,,,,,2.89,,,,,2.43
Tadashi Settsu,2012,,193.3,,,0.129,,,,,,,,,,2.87,,,,,1.91
Soma Yamauchi,2012,,148,,,0.061,,,,,,,,,,3.42,,,,,2.43
Toshiya Sugiuchi,2012,,163,,,0.203,,,,,,,,,,2.10,,,,,2.04
D.J. Houlton,2012,,158,,,0.14,,,,,,,,,,3.10,,,,,2.45
Brian Wolfe,2012,,149,,,0.068,,,,,,,,,,2.98,,,,,2.66
Masanori Ishikawa,2012,,172.7,,,0.082,,,,,,,,,,3.54,,,,,3.60
Yusuke Nomura,2012,,172.7,,,0.072,,,,,,,,,,3.09,,,,,1.98
Toshiya Sugiuchi,2013,,153,,,0.162,,,,,,,,,,3.96,,,,,3.35
Hirokazu Sawamura,2013,,158.3,,,0.161,,,,,,,,,,3.70,,,,,3.13
Masanori Ishikawa,2013,,148.3,,,0.083,,,,,,,,,,4.12,,,,,3.52
Kenta Maeda,2013,,175.7,,,0.171,,,,,,,,,,3.05,,,,,2.10
Takahiro Norimoto,2013,,170,,,0.119,,,,,,,,,,3.79,,,,,3.34
Randy Messenger,2013,,196.3,,,0.157,,,,,,,,,,3.10,,,,,2.89
Ryoma Nogami,2013,,152.7,,,0.081,,,,,,,,,,4.50,,,,,3.95
Tadashi Settsu,2013,,162.3,,,0.157,,,,,,,,,,3.31,,,,,3.05
Yuki Nishi,2013,,166,,,0.134,,,,,,,,,,3.68,,,,,3.63
Hiroshi Kisanuki,2013,,145,,,0.073,,,,,,,,,,4.00,,,,,3.66
Tomoyuki Sugano,2013,,176,,,0.162,,,,,,,,,,2.89,,,,,3.12
Yasuhiro Ogawa,2013,,178,,,0.125,,,,,,,,,,3.11,,,,,2.93
Kazuki Mishima,2013,,146.3,,,0.103,,,,,,,,,,4.59,,,,,3.94
Kan Otake,2013,,163,,,0.076,,,,,,,,,,3.97,,,,,3.37
Masahiro Tanaka,2013,,212,,,0.184,,,,,,,,,,2.43,,,,,1.27
Jason Standridge,2013,,160.7,,,0.114,,,,,,,,,,3.53,,,,,2.74
Ken Togame,2013,,164.3,,,0.113,,,,,,,,,,3.71,,,,,3.45
Yudai Ono,2013,,146.3,,,0.119,,,,,,,,,,3.62,,,,,3.81
Chihiro Kaneko,2013,,223.3,,,0.161,,,,,,,,,,2.90,,,,,2.01
Yuki Karakawa,2013,,168,,,0.047,,,,,,,,,,4.10,,,,,4.18
Tetsuya Utsumi,2013,,160.3,,,0.089,,,,,,,,,,3.72,,,,,3.31
Ryosuke Yagi,2013,,152,,,0.094,,,,,,,,,,4.26,,,,,4.44
Yusuke Nomura,2013,,149.3,,,0.106,,,,,,,,,,3.80,,,,,3.74
Daisuke Miura,2013,,175.7,,,0.104,,,,,,,,,,4.46,,,,,3.94
Bryan Bullington,2013,,172.7,,,0.107,,,,,,,,,,4.06,,,,,3.23
Takayuki Kishi,2013,,178.3,,,0.149,,,,,,,,,,3.61,,,,,3.08
Atsushi Nomi,2013,,180.7,,,0.119,,,,,,,,,,3.76,,,,,2.69
Kazuhisa Makita,2013,,166,,,0.07,,,,,,,,,,4.14,,,,,2.60
Mitsuo Yoshikawa,2013,,160.3,,,0.099,,,,,,,,,,3.71,,,,,3.31
Takayuki Kishi,2014,,161.3,,,0.143,,,,,,,,,,3.76,,,,,2.51
Chihiro Kaneko,2014,,191,,,0.206,,,,,,,,,,2.41,,,,,1.98
Luis Mendoza,2014,,162,,,0.106,,,,,,,,,,3.32,,,,,3.89
Kenta Maeda,2014,,187,,,0.161,,,,,,,,,,3.26,,,,,2.60
Randy Messenger,2014,,208.3,,,0.18,,,,,,,,,,3.30,,,,,3.20
Kenichi Nakata,2014,,145,,,0.082,,,,,,,,,,4.13,,,,,4.34
Daisuke Yamai,2014,,173.7,,,0.052,,,,,,,,,,4.52,,,,,3.21
Tomoyuki Sugano,2014,,158.7,,,0.134,,,,,,,,,,3.59,,,,,2.33
Yasutomo Kubo,2014,,178.3,,,0.086,,,,,,,,,,3.81,,,,,3.33
Wataru Karashima,2014,,154.3,,,0.08,,,,,,,,,,3.88,,,,,3.79
Kazuhisa Makita,2014,,170.7,,,0.053,,,,,,,,,,4.11,,,,,3.74
Brandon Dickson,2014,,154,,,0.096,,,,,,,,,,3.51,,,,,3.33
Hideaki Wakui,2014,,164.7,,,0.075,,,,,,,,,,3.92,,,,,4.21
Daichi Osera,2014,,151,,,0.117,,,,,,,,,,4.51,,,,,4.05
Minoru Iwata,2014,,148.7,,,0.121,,,,,,,,,,3.97,,,,,2.54
Jason Standridge,2014,,172,,,0.099,,,,,,,,,,3.97,,,,,3.30
Tetsuya Utsumi,2014,,144.7,,,0.114,,,,,,,,,,3.85,,,,,3.17
Shoichi Ino,2014,,159.3,,,0.081,,,,,,,,,,4.69,,,,,4.01
Takahiro Norimoto,2014,,202.7,,,0.201,,,,,,,,,,2.82,,,,,3.02
Yuki Nishi,2014,,156,,,0.131,,,,,,,,,,3.49,,,,,3.29
Shohei Otani,2014,,155.3,,,0.191,,,,,,,,,,2.77,,,,,2.61
Ayumu Ishikawa,2014,,160,,,0.111,,,,,,,,,,3.50,,,,,3.43
Shintaro Fujinami,2014,,163,,,0.153,,,,,,,,,,3.24,,,,,3.53
Atsushi Nomi,2014,,169.3,,,0.143,,,,,,,,,,3.82,,,,,3.99
Yudai Ono,2014,,165,,,0.106,,,,,,,,,,4.13,,,,,2.89
Toshiya Sugiuchi,2014,,159.3,,,0.159,,,,,,,,,,4.00,,,,,3.16
Masanori Ishikawa,2014,,165,,,0.072,,,,,,,,,,4.79,,,,,4.75
Guillermo Moscoso,2014,,146,,,0.084,,,,,,,,,,4.49,,,,,3.39
"Togame, Ken",2015,L,152,16.6,8.2,0.084,3,0.256,1.3,0.711,80.3,93,118,106,3.67,4.66,-0.99,4.21,4.98,142.1,3.55
"Standridge, Jason",2015,H,144.1,13.1,7.1,0.06,1.9,0.275,1.34,0.697,74.5,101,108,110,3.99,4.28,-0.29,4.37,4.53,144.3,3.74
"Yoshikawa, Mitsuo",2015,F,159.1,13.6,8.3,0.053,2.3,0.252,1.31,0.722,74.8,103,118,110,4.07,4.66,-0.59,4.35,4.47,143.5,3.84
"Nakata, Kenichi",2015,H,155.1,19.8,9.3,0.105,2.6,0.234,1.26,0.716,79.9,88,110,101,3.48,4.34,-0.86,4,4.35,141.3,3.24
"Wakui, Hideaki",2015,M,188.2,14.9,7.3,0.076,1.4,0.254,1.25,0.708,72.1,95,96,105,3.77,3.79,-0.02,4.17,4.12,140.8,3.39
"Tomei, Daiki",2015,Bs,161.1,17.8,6.2,0.116,2.4,0.247,1.17,0.718,77.5,86,98,96,3.4,3.88,-0.48,3.82,4.08,141.3,3.35
"Mendoza, Luis",2015,F,148.2,13.6,9.9,0.037,1.3,0.248,1.32,0.711,73.1,96,106,109,3.81,4.19,-0.37,4.3,3.99,144.4,3.51
"Ishikawa, Masanori",2015,S,146.2,15.1,4.7,0.104,2.7,0.272,1.21,0.701,76.9,100,108,97,3.62,3.94,-0.31,3.51,3.97,132.3,3.31
"Ogawa, Yasuhiro",2015,S,168,18.3,6.9,0.114,2.6,0.241,1.19,0.711,77.2,97,108,100,3.54,3.93,-0.39,3.64,3.91,142.2,3.11
"Takagi, Hayato",2015,G,163.2,19.3,6.9,0.124,2.4,0.237,1.16,0.718,75.2,100,104,102,3.63,3.79,-0.16,3.71,3.81,141.6,3.19
"Iwata, Minoru",2015,T,170.1,16.5,6.8,0.097,1.8,0.259,1.27,0.69,76.5,96,101,98,3.49,3.66,-0.17,3.56,3.67,139.7,3.22
"Ishikawa, Ayumu",2015,M,178.2,16.8,4.5,0.123,2,0.275,1.26,0.685,77.5,87,90,92,3.43,3.57,-0.15,3.65,3.66,140.3,3.27
"Otani, Shohei",2015,F,160.2,31.6,7.4,0.242,1.1,0.18,0.91,0.737,78.3,57,58,60,2.24,2.28,-0.04,2.37,1.86,152.4,2.24
"Takeda, Shota",2015,H,164.2,23.8,8.6,0.152,2,0.233,1.22,0.704,78,83,88,82,3.28,3.47,-0.2,3.24,3.36,143.6,3.17
"Maeda, Kenta",2015,C,206.1,21.3,5,0.163,0.6,0.222,1.01,0.712,79.8,59,67,82,2.14,2.42,-0.28,2.99,2.37,144.6,2.09
"Johnson, Kris",2015,C,194.1,19.4,8.7,0.107,0.6,0.212,1.1,0.729,82.7,55,82,89,1.99,2.99,-1,3.24,2.71,143.7,1.85
"Mikolas, Miles",2015,G,145,19.2,4.1,0.151,1.4,0.205,0.9,0.751,81,58,79,83,2.11,2.87,-0.76,3.03,2.79,145.1,1.92
"Messenger, Randy",2015,T,193.2,24.3,7.5,0.168,1.3,0.228,1.15,0.693,74.6,87,77,81,3.16,2.79,0.37,2.93,2.84,145.5,2.97
"Fujinami, Shintaro",2015,T,199,26.3,9.8,0.165,1.1,0.223,1.23,0.689,76.3,87,80,83,3.17,2.9,0.27,3.01,2.91,150.7,2.4
"Poreda, Aaron",2015,G,147,16.3,7.4,0.089,1,0.243,1.22,0.71,72.8,96,92,99,3.49,3.35,0.14,3.61,3.43,146.3,2.94
"Ono, Yudai",2015,D,207.1,18.6,5.7,0.13,1.5,0.224,1.04,0.728,75.2,80,86,92,2.91,3.11,-0.2,3.34,3.07,140.7,2.52
"Sugano, Tomoyuki",2015,G,179,17.7,5.8,0.12,1.4,0.23,1.06,0.724,82.4,64,88,91,2.31,3.19,-0.87,3.3,3.24,144.1,1.91
"Kuroda, Hiroki",2015,C,169.2,15.5,4.2,0.112,1.2,0.252,1.1,0.705,77.1,77,86,94,2.81,3.13,-0.32,3.42,3.27,142.8,2.55
"Nishi, Yuki",2015,Bs,162.2,21.8,6.6,0.153,1.7,0.236,1.13,0.712,82.4,64,82,86,2.55,3.26,-0.72,3.39,3.31,140.5,2.38
"Nohmi, Atsushi",2015,T,159.2,18.6,5.7,0.129,1.9,0.277,1.3,0.672,71.4,113,92,93,4.11,3.36,0.76,3.37,3.36,139,3.72
"Norimoto, Takahiro",2015,E,194.2,27,6,0.21,1.8,0.244,1.15,0.68,76.8,79,70,73,3.14,2.77,0.38,2.89,2.95,145,2.91
"Ino, Shoichi",2016,DB,151.2,17.3,7.2,0.101,2.1,0.268,1.34,0.69,76,95,99,97,3.86,3.99,-0.14,3.92,3.97,143.5,3.5
"Ishikawa, Ayumu",2016,M,162.1,16.2,3.4,0.128,2.5,0.236,1.01,0.733,88.1,55,96,92,2.22,3.87,-1.65,3.71,3.98,142.5,2.16
"Dickson, Brandon",2016,Bs,171.1,18.6,9.5,0.091,2.3,0.282,1.48,0.661,73.6,112,108,94,4.52,4.35,0.17,3.77,4,143.1,4.36
"Nohmi, Atsushi",2016,T,147.1,19.9,8.2,0.117,2.7,0.249,1.3,0.691,75.2,101,104,97,4.09,4.21,-0.11,3.91,4.07,139,3.67
"Shiomi, Takahiro",2016,E,148,18.2,6.1,0.121,2.3,0.263,1.23,0.699,71.3,101,96,92,4.07,3.87,0.2,3.7,4.08,136.2,3.89
"Standridge, Jason",2016,M,162,14.4,6.6,0.079,1.9,0.274,1.31,0.685,73.5,99,101,102,4,4.06,-0.06,4.12,4.17,145,3.56
"Mima, Manabu",2016,E,155,17.1,4.7,0.124,2.1,0.291,1.37,0.657,70,115,94,91,4.65,3.8,0.84,3.68,4.16,144.3,4.3
"Ishida, Kenta",2016,DB,153,21.7,5.9,0.158,3.5,0.229,1.07,0.739,82.6,77,100,90,3.12,4.04,-0.92,3.63,4.27,138.9,3.12
"Ogawa, Yasuhiro",2016,S,158,17.1,7.8,0.093,3.3,0.251,1.27,0.726,70.9,115,117,108,4.67,4.74,-0.07,4.39,4.75,140.6,4.5
"Taguchi, Kazuto",2016,G,162,18.9,7.3,0.115,2.2,0.248,1.23,0.695,82.1,74,97,98,3,3.94,-0.94,3.95,3.94,135.7,2.72
"Kaneko, Chihiro",2016,Bs,162,18.5,8.7,0.098,1.9,0.24,1.25,0.719,71.6,98,99,101,3.94,3.98,-0.04,4.07,4.15,142.3,3.83
"Wada, Tsuyoshi",2016,H,163,23.7,5.7,0.18,3.3,0.226,1.08,0.727,81.9,80,99,83,3.2,3.97,-0.77,3.34,3.94,139.1,3.04
"Wakui, Hideaki",2016,M,188.2,14.9,6.1,0.088,1.9,0.277,1.29,0.684,77,87,98,98,3.48,3.96,-0.48,3.93,3.88,142.8,3.01
"Arihara, Kohei",2016,F,156,16.1,5.9,0.102,2,0.256,1.21,0.707,80.3,75,96,91,3,3.86,-0.86,3.67,3.81,146.3,2.94
"Norimoto, Takahiro",2016,E,195,26.3,6.1,0.202,1.5,0.259,1.24,0.644,69.6,100,70,71,4.02,2.8,1.22,2.85,2.86,146.1,2.91
"Johnson, Kris",2016,C,180.1,19.2,6.7,0.125,1.5,0.232,1.13,0.705,81.8,62,82,85,2.5,3.34,-0.84,3.45,2.92,144.2,2.15
"Senga, Kodai",2016,H,169,26.6,7.8,0.188,2.3,0.207,1.05,0.734,81.7,69,87,78,2.77,3.49,-0.72,3.14,3.21,147,2.61
"Sugano, Tomoyuki",2016,G,183.1,26,3.6,0.225,1.7,0.228,0.99,0.689,82.7,56,63,63,2.26,2.56,-0.3,2.56,2.48,146.9,2.01
"Iwasada, Yuta",2016,T,158.1,24.2,8.5,0.157,1.6,0.208,1.1,0.731,74.2,79,79,84,3.18,3.19,0,3.39,3.26,140.7,2.9
"Fujinami, Shintaro",2016,T,169,24,9.5,0.144,1.5,0.238,1.31,0.674,70.8,103,85,85,4.15,3.42,0.73,3.45,3.21,149.2,3.25
"Nishi, Yuki",2016,Bs,165.1,15.2,6.7,0.084,0.6,0.273,1.32,0.682,66.4,108,83,105,4.35,3.36,1,4.22,3.4,141.6,4.14
"Kikuchi, Yusei",2016,L,143,21.3,11.3,0.101,1.2,0.231,1.29,0.712,76.6,80,91,99,3.21,3.66,-0.45,4,3.51,147.1,2.58
"Nomura, Yusuke",2016,C,152.2,14.4,5.8,0.085,1.7,0.241,1.15,0.713,79.2,73,96,103,2.95,3.87,-0.92,4.18,3.7,138.9,2.71
"Kuroda, Hiroki",2016,C,151.2,15.7,4.8,0.109,2.2,0.264,1.2,0.703,79.2,79,93,90,3.2,3.78,-0.57,3.66,3.73,141.3,3.09
"Takeda, Shota",2016,H,183,18.7,9.1,0.096,1.6,0.243,1.27,0.697,75.5,87,96,98,3.49,3.86,-0.37,3.92,3.75,142.5,2.95
"Messenger, Randy",2016,T,185.1,22.4,7.6,0.148,1.4,0.251,1.28,0.675,74.2,88,76,89,3.54,3.09,0.45,3.59,3.27,145.1,3.01
"Taguchi, Kazuto",2017,G,170.2,17.2,6.9,0.103,2,0.249,1.22,0.702,79.5,77,97,97,3.11,3.9,-0.79,3.94,3.76,136.6,3.01
"Nomura, Yusuke",2017,C,155.1,16.4,5.9,0.105,1.9,0.259,1.22,0.703,79.6,76,94,98,3.07,3.8,-0.73,3.96,3.79,140.2,2.78
"Ino, Shoichi",2017,DB,152.1,14.6,7.2,0.074,1.4,0.257,1.27,0.708,71.7,97,98,105,3.9,3.94,-0.04,4.25,3.97,144.4,3.84
"Imanaga, Shota",2017,DB,148,23.3,8.7,0.147,2.2,0.219,1.13,0.731,80,74,92,96,2.98,3.71,-0.74,3.87,4.03,141.7,2.98
"Wakui, Hideaki",2017,M,158,17,7.9,0.092,3,0.261,1.32,0.698,75.5,105,112,105,4.22,4.52,-0.31,4.24,4.79,142.9,3.99
"Buchanan, David",2017,S,159.2,16.5,8.3,0.083,2.8,0.266,1.34,0.697,75.4,105,116,102,4.23,4.7,-0.47,4.12,4.42,146.4,3.66
"Valdes, Raul",2017,D,146,13.3,7.5,0.058,2.1,0.25,1.27,0.718,68.6,111,111,121,4.5,4.48,0.02,4.87,4.44,133.6,3.76
"Arihara, Kohei",2017,F,169,12.1,5.4,0.067,2.9,0.294,1.38,0.686,67.4,128,112,107,5.17,4.5,0.67,4.32,4.53,146.6,4.74
"Ono, Yudai",2017,D,147.2,18.6,8.1,0.105,2.7,0.256,1.31,0.701,73.2,107,109,101,4.33,4.42,-0.09,4.07,4.54,142.8,4.02
"Higashihama, Nao",2017,H,160,21.8,6.9,0.149,2.7,0.233,1.12,0.725,84.5,67,92,84,2.7,3.68,-0.98,3.37,3.75,143.3,2.64
"Kaneko, Chihiro",2017,Bs,184.1,18.7,7.4,0.113,2.8,0.235,1.17,0.728,73.2,97,102,99,3.91,4.09,-0.18,4,4.19,142.6,3.47
"Osera, Daichi",2017,C,145.2,17.7,7,0.107,1.9,0.255,1.28,0.69,69.9,104,95,104,4.2,3.83,0.37,4.2,3.7,144.5,3.65
"Yamaoka, Taisuke",2017,Bs,149.1,21.5,8.7,0.128,1.3,0.247,1.27,0.686,71.9,93,80,97,3.74,3.24,0.5,3.89,3.24,143.3,3.74
"van den Hurk, Rick",2017,H,153,26,7.5,0.185,2.9,0.229,1.14,0.718,78.9,83,89,85,3.35,3.57,-0.21,3.41,3.53,149.3,3.24
"Akiyama, Takumi",2017,T,159.1,19.3,2.5,0.168,2.4,0.262,1.09,0.695,78,78,85,89,3.16,3.44,-0.28,3.6,3.62,140.6,2.99
"Sugano, Tomoyuki",2017,G,187.1,24,4.3,0.196,1.4,0.194,0.85,0.742,85,43,68,74,1.73,2.73,-1,2.99,2.57,148,1.59
"Mikolas, Miles",2017,G,188,25.1,3.1,0.22,1.3,0.233,0.98,0.693,78.6,63,64,69,2.54,2.59,-0.06,2.79,2.57,147.7,2.25
"Messenger, Randy",2017,T,143,26.1,7.4,0.187,0.8,0.25,1.24,0.658,79.7,65,64,79,2.64,2.58,0.06,3.21,2.86,145.7,2.39
"Kikuchi, Yusei",2017,L,187.2,29.5,6.7,0.229,2.2,0.184,0.91,0.734,82.8,58,71,69,2.35,2.87,-0.52,2.78,2.97,148.6,1.97
"Norimoto, Takahiro",2017,E,185.2,29.6,6.4,0.232,1.5,0.219,1.06,0.689,74.1,76,59,68,3.05,2.38,0.67,2.72,2.31,149.2,2.57
"Kishi, Takayuki",2017,E,176.1,26.9,5.4,0.215,2.7,0.218,1.02,0.727,81.1,71,77,78,2.86,3.12,-0.26,3.13,3.18,142.6,2.76
"Senga, Kodai",2017,H,143,26.4,8,0.184,2.6,0.211,1.07,0.732,80.6,74,86,77,2.96,3.45,-0.5,3.11,3.26,148.1,2.64
"Futaki, Kota",2017,M,143.1,21.8,6,0.158,2.4,0.254,1.19,0.689,75,91,85,86,3.64,3.41,0.23,3.45,3.34,141.4,3.39
"Nogami, Ryoma",2017,L,144,19.6,4.2,0.154,1.7,0.241,1.06,0.715,66.4,96,77,95,3.88,3.11,0.76,3.81,3.04,141.8,3.63
"Mima, Manabu",2017,E,171.1,19.6,4.8,0.148,2.6,0.245,1.1,0.711,75.5,86,90,91,3.47,3.63,-0.16,3.68,3.51,144.6,3.26
"Yamaguchi, Shun",2018,G,154,22.4,9.3,0.13,2.8,0.226,1.21,0.729,76.1,86,100,98,3.86,4.49,-0.63,4.4,4.64,144.3,3.68
"Buchanan, David",2018,S,174.1,12.6,7.1,0.056,2.3,0.276,1.37,0.694,72.8,98,105,103,4.39,4.71,-0.32,4.65,4.37,145.5,4.03
"Yamaoka, Taisuke",2018,Bs,146,19.5,7.9,0.116,3.4,0.247,1.27,0.704,74.4,104,108,94,4.38,4.54,-0.17,3.93,4.29,145.9,3.95
"Garcia, Onelki",2018,D,168.2,18.6,10.3,0.083,1.8,0.234,1.29,0.721,79.6,71,97,97,3.2,4.36,-1.16,4.37,4.24,142.6,2.99
"Ohsera, Daichi",2018,C,182,21.9,5.6,0.162,3,0.215,1.01,0.747,78.2,72,90,89,3.21,4.05,-0.83,4.02,4.05,145.4,2.62
"Tawata, Shinsaburo",2018,L,172.2,14,6.4,0.075,1.6,0.261,1.27,0.697,70,100,94,100,4.22,3.95,0.27,4.2,3.92,143.3,3.81
"Martinez, Nick",2018,F,161.2,13.6,5.9,0.078,2.3,0.27,1.29,0.703,75.7,91,99,96,3.84,4.16,-0.31,4.05,3.91,146.1,3.51
"Wakui, Hideaki",2018,M,150.2,15.7,6.8,0.089,2.5,0.272,1.31,0.697,76,92,98,99,3.88,4.1,-0.22,4.18,4.17,143.5,3.7
"Johnson, Kris",2018,C,144.2,18.6,7.9,0.107,1.5,0.255,1.28,0.689,76.1,76,84,88,3.42,3.78,-0.36,3.93,3.72,145.7,3.11
"Messenger, Randy",2018,T,173.2,20.5,8,0.125,1.8,0.247,1.26,0.694,72.6,85,85,93,3.83,3.81,0.03,4.18,3.79,142.8,3.63
"Sugano, Tomoyuki",2018,G,202,25,4.6,0.203,1.7,0.221,1,0.707,82.6,52,67,76,2.32,3.02,-0.7,3.42,3.04,148,2.14
"Norimoto, Takahiro",2018,E,180.1,24.6,6.7,0.179,2.4,0.25,1.23,0.686,73.6,93,79,78,3.89,3.31,0.58,3.28,3.19,148.3,3.69
